p,df,pattern,eps,min_var,max_var,q95_profile,q95_chi,q95_gap_chi_minus_profile,profile_tail_at_chi_q95,chi_tail_at_profile_q95,tail_gap_at_chi_q95,trace,trace_over_df,lambda_min,lambda_max,lambda_sd,imag_max
4,5,linear,0.3,0.7,1.3,9.952305748056453,11.070497693516351,1.1181919454598983,0.03288608529210568,0.0765979762061221,-0.01711391470789432,4.215703560375683,0.8431407120751366,0.31415624680700616,1.4791667716625652,0.408142816989851,0.0
5,9,spike_hi,0.7,0.825,1.7,15.58853304944386,16.91897760462045,1.3304445551765909,0.033090699284055024,0.07598736157751997,-0.01690930071594498,7.787113576771139,0.8652348418634599,0.3281999894010741,1.2498064100781985,0.43485449193602216,0.0
6,14,spike_hi,0.7,0.86,1.7,22.324211753016982,23.68479130484058,1.360579551823598,0.034661613656026165,0.0721935737692412,-0.015338386343973838,12.63585986908585,0.9025614192204179,0.3335067067511707,1.1992828051044957,0.4002799894332629,4.960207624794155e-19
5,9,half,0.3,0.8,1.3,15.701420385866683,16.91897760462045,1.2175572187537682,0.03470667382316403,0.07338463232718548,-0.015293326176835972,7.851549660532058,0.8723944067257842,0.18744171388946704,1.567425135987898,0.43859207665128647,0.0
4,5,spike_hi,0.5,0.8333333333333334,1.5,10.10602864085606,11.070497693516351,0.9644690526602915,0.03487096753643429,0.07228611458066872,-0.015129032463565714,4.305476882458676,0.8610953764917353,0.451102695933126,1.3207841395260846,0.3920954772493836,0.0
5,9,linear,0.3,0.7,1.3,15.752314243234803,16.91897760462045,1.1666633613856483,0.03535124641481713,0.07223755944376588,-0.014648753585182875,7.855302096196105,0.8728113440217895,0.26738434869918803,1.7434735520767723,0.4498352424549366,0.0
4,5,spike_lo,0.3,0.7,1.1,10.160966669606545,11.070497693516351,0.9095310239098069,0.03562369882045071,0.07080070626193906,-0.014376301179549293,4.333085816848717,0.8666171633697435,0.4511026959959745,1.3207841394012025,0.3908493047533952,1.4094351710962005e-17
6,14,linear,0.3,0.7,1.3,22.3589408306418,23.68479130484058,1.3258504741987807,0.035827617576117264,0.07153375767253892,-0.014172382423882739,12.447290029854445,0.8890921449896032,0.24631422153846685,1.9254686632270188,0.4689182200944649,0.0
5,9,spike_hi,0.5,0.875,1.5,16.09336116313861,16.91897760462045,0.8256164414818414,0.03872024647949921,0.06495737443026008,-0.011279753520500792,8.2088448082496,0.9120938675832888,0.45158400058264264,1.236544001281169,0.36825324780058355,0.0
5,9,spike_lo,0.3,0.7,1.075,16.10888966291821,16.91897760462045,0.8100879417022426,0.03931202718425399,0.06464221347245748,-0.01068797281574601,8.120657691032239,0.9022952990035821,0.5494125311772767,1.458352993777854,0.4162656739361298,0.0
6,14,spike_hi,0.5,0.9,1.5,22.84825201975287,23.68479130484058,0.83653928508771,0.03994420034522,0.06278418645998876,-0.010055799654780005,13.109481313052303,0.9363915223608787,0.4511026961337073,1.1871240826706517,0.33883448299354674,0.0
6,14,spike_lo,0.3,0.7,1.06,22.90635744749828,23.68479130484058,0.7784338573423,0.04110341842651431,0.06181062689337421,-0.00889658157348569,12.924164214672832,0.9231545867623451,0.6184781984970583,1.5520240002253378,0.4199241674982918,0.0
4,5,alternating,0.15,0.85,1.15,10.58544293211634,11.070497693516351,0.48505476140001136,0.04159273554208477,0.060247970354089096,-0.008407264457915231,4.655669205965744,0.9311338411931487,0.5057274071253711,1.408189894638435,0.2861616116820474,0.0
4,5,half,0.15,0.85,1.15,10.58544293211635,11.070497693516351,0.4850547614000007,0.04159273554208487,0.060247970354088805,-0.008407264457915134,4.655669205965747,0.9311338411931495,0.5057274071253718,1.408189894638436,0.28616161168204723,0.0
6,14,alternating,0.15,0.85,1.15,23.02417780202743,23.68479130484058,0.660613502813149,0.04204858517066087,0.059877439828535,-0.007951414829339136,13.208350482469257,0.9434536058906612,0.4390277444197202,1.5609722579362941,0.34257853721247405,8.310467022336698e-17
